Frame,FrameTime,Framerate,MemoryUsage(MB)
0,0.0111845,89.40948,407.4137
1,0.004117205,242.8832,407.4144
2,0.006020699,166.0937,407.4151
3,0.006428997,155.5453,407.4158
4,0.007400801,135.1205,407.4166
5,0.007060303,141.637,407.4173
6,0.007008,142.6941,407.418
7,0.006665696,150.0219,407.4188
8,0.007016,142.5314,407.4195
9,0.007254103,137.853,407.4202
10,0.007077402,141.2948,407.4211
11,0.006667999,149.97,407.4219
12,0.007385098,135.4078,407.4226
13,0.007321499,136.584,407.4233
14,0.006990299,143.0554,407.4241
15,0.0070241,142.367,407.4248
16,0.007000503,142.8469,407.4255
17,0.0133251,75.04635,407.4268
18,0.0138868,72.01084,407.4276
19,0.0147602,67.74974,407.4281
20,0.001571499,636.335,407.4289
21,0.005478196,182.5419,407.4296
22,0.006928805,144.325,407.4304
23,0.007056094,141.7215,407.4311
24,0.007093403,140.9761,407.4318
25,0.007042701,141.991,407.4326
26,0.006938698,144.1193,407.4333
27,0.006899199,144.9444,407.434
28,0.007544799,132.5416,407.4348
29,0.006410303,155.9989,407.4355
30,0.007342999,136.1841,407.4362
31,0.006677402,149.7588,407.437
32,0.006994799,142.9634,407.4377
33,0.007477402,133.7363,407.4384
34,0.006922399,144.4586,407.4391
35,0.006765299,147.8131,407.4399
36,0.006993998,142.9797,407.4406
37,0.007439102,134.4248,407.4413
38,0.006703302,149.1802,407.4421
39,0.006975999,143.3486,407.4428
40,0.007131399,140.2249,407.4435
41,0.007200099,138.887,407.4443
42,0.0066071,151.3523,407.445
43,0.007268297,137.5838,407.4457
44,0.007681101,130.1897,407.4465
45,0.006330102,157.9753,407.4472
46,0.007162599,139.6141,407.4479
47,0.007141298,140.0306,407.4487
48,0.007021904,142.4115,407.4494
49,0.006799298,147.074,407.4501
50,0.007109701,140.6529,407.4509
51,0.009686402,103.2375,407.4516
52,0.01120509,89.24512,407.4525
53,0.007180301,139.2699,407.4531
54,0.006944402,144.0009,407.4538
55,0.0216206,46.25219,407.4546
56,0.006370103,156.9833,407.4554
57,0.007362096,135.8309,407.456
58,0.006467304,154.6239,407.4567
59,0.006973299,143.4041,407.4575
60,0.007056696,141.7094,407.4582
61,0.0074813,133.6666,407.4589
62,0.006537599,152.9613,407.4597
63,0.0067786,147.5231,407.4602
64,0.007271301,137.527,407.4611
65,0.007055605,141.7313,407.4617
66,0.006693098,149.4076,407.4624
67,0.007003097,142.794,407.4631
68,0.007297902,137.0257,407.4639
69,0.0066831,149.6312,407.4646
70,0.007422803,134.72,407.4653
71,0.006735098,148.476,407.4661
72,0.006925702,144.3897,407.4668
73,0.007432497,134.5443,407.4677
74,0.006842701,146.1411,407.4683
75,0.006916298,144.586,407.4692
76,0.006969303,143.4864,407.4699
77,0.007413201,134.8945,407.4706
78,0.007476495,133.7525,407.4714
79,0.007011203,142.6289,407.4721
80,0.006720401,148.8006,407.4728
81,0.007319494,136.6215,407.4736
82,0.0068991,144.9464,407.4743
83,0.007004507,142.7652,407.475
84,0.006799497,147.0697,407.4758
85,0.007521499,132.9522,407.4765
86,0.006441603,155.2409,407.4772
87,0.007442694,134.36,407.478
88,0.006974001,143.3897,407.4787
89,0.02121991,47.12556,407.4795
90,0.006227197,160.5859,407.4803
91,0.007101099,140.8233,407.4807
92,0.007351304,136.0303,407.4814
93,0.007257299,137.7923,407.4824
94,0.006997499,142.9082,407.4829
95,0.006556803,152.5134,407.4836
96,0.007151198,139.8367,407.4844
97,0.0069098,144.722,407.4851
98,0.007029599,142.2556,407.4858
99,0.006771202,147.6843,407.4866
100,0.007223002,138.4466,407.4873
101,0.006867595,145.6114,407.488
102,0.0072045,138.8021,407.4888
103,0.006803302,146.9874,407.4895
104,0.006974199,143.3856,407.4902
105,0.007945004,125.8653,407.491
106,0.0131711,75.92383,407.4917
107,0.007079804,141.2468,407.4924
108,0.007792396,128.3302,407.4932
109,0.0105551,94.74091,407.4939
110,0.007173002,139.4117,407.4946
111,0.007204996,138.7926,407.4954
112,0.007355903,135.9452,407.4963
