Frame,FrameTime,Framerate,MemoryUsage(MB)
0,0.007437302,134.4574,396.0442
1,0.006824603,146.5287,396.0448
2,0.0069054,144.8142,396.0455
3,0.006917,144.5714,396.0463
4,0.006838598,146.2288,396.047
5,0.007181002,139.2563,396.0477
6,0.007102998,140.7856,396.0485
7,0.009108298,109.79,396.0492
8,0.007803302,128.1509,396.0499
9,0.0112847,88.61555,396.0507
10,0.006539902,152.9075,396.0514
11,0.007180995,139.2565,396.0521
12,0.007097903,140.8867,396.0529
13,0.0132105,75.69735,396.0541
14,0.014035,71.25045,396.0549
15,0.008053203,124.1742,396.0555
16,0.007344395,136.1582,396.0562
17,0.006422506,155.7025,396.0569
18,0.007127097,140.3096,396.0576
19,0.007087202,141.0994,396.0584
20,0.007406994,135.0075,396.0591
21,0.007162805,139.6101,396.06
22,0.0071429,139.9992,396.0608
23,0.006772499,147.656,396.0615
24,0.006984396,143.1763,396.0622
25,0.006743006,148.3018,396.063
26,0.007206796,138.7579,396.0637
27,0.007308099,136.8345,396.0644
28,0.006779401,147.5057,396.0652
29,0.006954904,143.7834,396.0659
30,0.006855095,145.8769,396.0666
31,0.007095401,140.9364,396.0674
32,0.006882802,145.2897,396.0681
33,0.007409899,134.9546,396.0688
34,0.007306703,136.8606,396.0695
35,0.007151198,139.8367,396.0703
36,0.006421903,155.7171,396.071
37,0.007259595,137.7487,396.0717
38,0.006606299,151.3707,396.0725
39,0.007635303,130.9706,396.0732
40,0.006998398,142.8898,396.0739
41,0.006457802,154.8515,396.0747
42,0.007047697,141.8903,396.0754
43,0.0070607,141.629,396.0761
44,0.007193502,139.0143,396.0769
45,0.006683496,149.6223,396.0776
46,0.007642503,130.8472,396.0783
47,0.006322697,158.1604,396.0791
48,0.007060502,141.633,396.0798
49,0.007042701,141.991,396.0805
50,0.007239803,138.1253,396.0675
51,0.007419699,134.7764,396.0683
52,0.006339598,157.7387,396.069
53,0.007611303,131.3836,396.0697
54,0.006951098,143.8622,396.0705
55,0.006600298,151.5083,396.0712
56,0.007064902,141.5448,396.0719
57,0.007540802,132.6119,396.0727
58,0.006765795,147.8023,396.0734
59,0.007076205,141.3187,396.0741
60,0.007072598,141.3908,396.0749
61,0.007118502,140.479,396.0756
62,0.006803295,146.9876,396.0763
63,0.007012004,142.6126,396.0771
64,0.006949199,143.9015,396.0778
65,0.006774603,147.6101,396.0785
66,0.007422896,134.7183,396.0793
67,0.0069267,144.3689,396.08
68,0.007012599,142.6005,396.0805
69,0.006598703,151.5449,396.0813
70,0.007571499,132.0742,396.082
71,0.006827998,146.4558,396.0827
72,0.006915505,144.6026,396.0835
73,0.006698597,149.285,396.0842
74,0.007279401,137.3739,396.0849
75,0.006758702,147.9574,396.0857
76,0.007349795,136.0582,396.0864
77,0.006832306,146.3635,396.0873
78,0.007289597,137.1818,396.0879
79,0.006776899,147.5601,396.0886
80,0.007367198,135.7368,396.0893
81,0.006747399,148.2052,396.0901
82,0.007169303,139.4836,396.0908
83,0.007025999,142.3285,396.0915
84,0.007081399,141.215,396.0923
85,0.007333404,136.3623,396.093
86,0.006898101,144.9674,396.0937
87,0.007174497,139.3826,396.0945
88,0.007051502,141.8138,396.0952
89,0.0069188,144.5337,396.0959
90,0.006819296,146.6427,396.0966
91,0.0103379,96.73141,396.0976
92,0.004139598,241.5694,396.0983
93,0.0144007,69.44106,396.0992
94,0.0208958,47.85651,396.0998
95,0.006567404,152.2672,396.1006
96,0.006862195,145.726,396.1012
97,0.0213942,46.74163,396.1018
98,0.001896301,527.3424,396.1025
99,0.005187401,192.7748,396.1032
100,0.0071679,139.5109,396.104
101,0.006672598,149.8667,396.1047
102,0.006940101,144.0901,396.1054
103,0.007051297,141.8179,396.1062
104,0.0073652,135.7736,396.1069
105,0.006686806,149.5482,396.1076
106,0.007051098,141.8219,396.1084
107,0.006856902,145.8385,396.1091
108,0.006851694,145.9493,396.1098
109,0.007139102,140.0737,396.1106
110,0.007010601,142.6411,396.1113
111,0.006920904,144.4898,396.112
112,0.006917899,144.5526,396.1128
113,0.007327998,136.4629,396.1135
114,0.0069215,144.4774,396.1142
115,0.0066688,149.952,396.115
116,0.007242297,138.0777,396.1157
