Frame,FrameTime,CPUUsage,MemoryUsage
0,0.007177197,0.007177197,525.832
1,0.0070669,0.0070669,525.8398
2,0.0068884,0.0068884,525.8477
3,0.007035799,0.007035799,525.8516
4,0.006640405,0.006640405,525.8633
5,0.007954698,0.007954698,525.875
6,0.006608496,0.006608496,525.8789
7,0.007071499,0.007071499,525.8828
8,0.0145238,0.0145238,525.9023
9,0.0128494,0.0128494,525.918
10,0.0150401,0.0150401,525.9258
11,0.0021285,0.0021285,525.9336
12,0.0042259,0.0042259,525.9336
13,0.007743502,0.007743502,525.9531
14,0.006695302,0.006695302,525.957
15,0.0072474,0.0072474,525.9609
16,0.006643502,0.006643502,525.9727
17,0.007539399,0.007539399,525.9766
18,0.006898399,0.006898399,525.9922
19,0.006523802,0.006523802,525.9961
20,0.007906399,0.007906399,526.0039
21,0.006193396,0.006193396,526.0117
22,0.007388202,0.007388202,526.0156
23,0.007006604,0.007006604,526.043
24,0.007123299,0.007123299,526.043
25,0.006877997,0.006877997,526.0469
26,0.007141397,0.007141397,526.0625
27,0.007042305,0.007042305,526.0664
28,0.006909999,0.006909999,526.0742
29,0.007247102,0.007247102,526.0859
30,0.006830995,0.006830995,526.0898
31,0.007100701,0.007100701,526.0938
32,0.006621804,0.006621804,526.1094
33,0.007335998,0.007335998,526.125
34,0.006930003,0.006930003,526.125
35,0.007029096,0.007029096,526.1367
36,0.007166503,0.007166503,526.1367
37,0.007054401,0.007054401,526.1484
38,0.006718899,0.006718899,526.1563
39,0.006886196,0.006886196,526.168
40,0.007405704,0.007405704,526.1797
41,0.006493396,0.006493396,526.1875
42,0.007124802,0.007124802,526.1953
43,0.007389598,0.007389598,526.1992
44,0.006635204,0.006635204,526.207
45,0.007102197,0.007102197,526.2227
46,0.007262401,0.007262401,526.2266
47,0.007176502,0.007176502,526.2383
48,0.006260396,0.006260396,526.2578
49,0.007023703,0.007023703,526.2617
50,0.008031299,0.008031299,526.2617
51,0.006575397,0.006575397,526.2773
52,0.006515101,0.006515101,526.2852
53,0.007560204,0.007560204,526.2891
54,0.006635098,0.006635098,526.3008
55,0.007155803,0.007155803,526.3164
56,0.0064813,0.0064813,526.3203
57,0.007850595,0.007850595,526.3516
58,0.006752303,0.006752303,526.3516
59,0.006339002,0.006339002,526.3594
60,0.008551396,0.008551396,526.8672
61,0.006142999,0.006142999,526.8789
62,0.0068446,0.0068446,526.8867
63,0.007225305,0.007225305,526.8984
64,0.007153699,0.007153699,526.9063
65,0.006255697,0.006255697,526.9102
66,0.007048002,0.007048002,526.9219
67,0.0077339,0.0077339,526.9297
68,0.006648101,0.006648101,526.9375
69,0.007026098,0.007026098,526.9492
70,0.006605003,0.006605003,526.9648
71,0.0070357,0.0070357,526.9688
72,0.0073464,0.0073464,526.9766
73,0.007495798,0.007495798,526.9883
74,0.006525999,0.006525999,526.9961
75,0.0066741,0.0066741,527.0078
76,0.007457901,0.007457901,527.0156
77,0.007367397,0.007367397,527.0273
78,0.006750503,0.006750503,527.0352
79,0.007217602,0.007217602,527.043
80,0.006881597,0.006881597,527.0508
81,0.007441199,0.007441199,527.0586
82,0.006115703,0.006115703,527.0742
83,0.007317198,0.007317198,527.0859
84,0.007038499,0.007038499,527.0859
85,0.006794898,0.006794898,527.0977
86,0.007686303,0.007686303,527.1055
87,0.006849001,0.006849001,527.1133
88,0.007075397,0.007075397,527.125
89,0.006472704,0.006472704,527.1367
90,0.007825701,0.007825701,527.1406
91,0.006594494,0.006594494,527.1445
92,0.006501701,0.006501701,527.1563
93,0.0077964,0.0077964,527.168
94,0.0064634,0.0064634,527.1797
95,0.006881604,0.006881604,527.1836
96,0.007380194,0.007380194,527.1953
97,0.007203501,0.007203501,527.2109
98,0.006713301,0.006713301,527.2148
99,0.008015703,0.008015703,527.2266
100,0.008906299,0.008906299,527.2305
101,0.0113573,0.0113573,527.2383
102,0.0101726,0.0101726,527.2539
103,0.0108411,0.0108411,527.2617
104,0.0071839,0.0071839,527.2695
105,0.006824504,0.006824504,527.2773
106,0.007081902,0.007081902,527.2891
107,0.006878997,0.006878997,527.2969
108,0.006979698,0.006979698,527.3086
109,0.007365505,0.007365505,527.3164
110,0.006787096,0.006787096,527.3203
111,0.006696903,0.006696903,527.3398
112,0.007403898,0.007403898,527.3438
113,0.007126198,0.007126198,527.3516
114,0.006957703,0.006957703,527.3594
115,0.006614803,0.006614803,527.3633
116,0.007380697,0.007380697,527.3789
117,0.006644501,0.006644501,527.3867
118,0.007342503,0.007342503,527.4023
119,0.006643998,0.006643998,527.4063
120,0.007411402,0.007411402,527.4102
121,0.006701594,0.006701594,527.4258
122,0.007214704,0.007214704,527.4336
123,0.0089241,0.0089241,527.4414
124,0.007507299,0.007507299,527.4453
125,0.006978897,0.006978897,527.4688
126,0.0072563,0.0072563,527.4727
127,0.006647605,0.006647605,527.4766
128,0.006901297,0.006901297,527.4922
129,0.007577104,0.007577104,527.5156
130,0.006779996,0.006779996,527.5273
131,0.006431399,0.006431399,527.5352
132,0.007138102,0.007138102,527.5469
133,0.007082802,0.007082802,527.5547
134,0.0071527,0.0071527,527.5625
135,0.006971096,0.006971096,527.5742
136,0.007473299,0.007473299,527.5781
137,0.0062375,0.0062375,527.5898
138,0.007824603,0.007824603,527.5938
139,0.007222598,0.007222598,527.6016
140,0.006089803,0.006089803,527.6289
141,0.0073527,0.0073527,527.6328
142,0.007240703,0.007240703,527.6367
143,0.006510098,0.006510098,527.6406
144,0.006816497,0.006816497,527.6563
145,0.007663499,0.007663499,527.6641
146,0.006641801,0.006641801,527.6719
147,0.007192701,0.007192701,527.6836
148,0.006609404,0.006609404,527.6914
149,0.007375999,0.007375999,527.6992
150,0.007328501,0.007328501,527.7109
151,0.006390696,0.006390696,527.7188
152,0.007216504,0.007216504,527.7227
153,0.0067375,0.0067375,527.7422
154,0.007081696,0.007081696,527.7461
155,0.007644303,0.007644303,527.7539
156,0.006279797,0.006279797,527.7695
157,0.006934503,0.006934503,527.7734
158,0.007144196,0.007144196,527.7813
159,0.007233206,0.007233206,527.793
160,0.007612797,0.007612797,527.8008
161,0.006263202,0.006263202,527.8047
162,0.007665497,0.007665497,527.8164
163,0.006588903,0.006588903,527.8242
164,0.007195897,0.007195897,527.832
165,0.0068072,0.0068072,527.8438
166,0.007792099,0.007792099,527.8555
167,0.006271202,0.006271202,527.8633
168,0.006824199,0.006824199,527.8711
169,0.007779698,0.007779698,527.875
170,0.006598406,0.006598406,527.8867
171,0.007396195,0.007396195,527.8906
172,0.007034304,0.007034304,527.9102
173,0.006912897,0.006912897,527.9219
174,0.0063884,0.0063884,527.9258
175,0.007363903,0.007363903,527.9414
176,0.006914095,0.006914095,527.9414
177,0.007207604,0.007207604,527.957
178,0.007198703,0.007198703,527.9688
179,0.006427296,0.006427296,527.9727
180,0.007701701,0.007701701,527.9805
181,0.006412202,0.006412202,527.9961
182,0.007545196,0.007545196,528.0039
183,0.006377501,0.006377501,528.0078
184,0.007613698,0.007613698,528.0195
185,0.006282603,0.006282603,528.0273
186,0.007775602,0.007775602,528.0313
187,0.006833099,0.006833099,528.0391
188,0.0065661,0.0065661,528.0508
189,0.007269196,0.007269196,528.0664
190,0.007344402,0.007344402,528.0742
191,0.0064822,0.0064822,528.082
192,0.007485899,0.007485899,528.0898
193,0.006767602,0.006767602,528.0938
194,0.007214002,0.007214002,528.1055
195,0.0071125,0.0071125,528.1211
196,0.006708199,0.006708199,528.1289
197,0.007330797,0.007330797,528.1367
198,0.006546202,0.006546202,528.1406
199,0.007171004,0.007171004,528.1523
200,0.006946698,0.006946698,528.1602
201,0.007293098,0.007293098,528.1719
202,0.006742801,0.006742801,528.1953
203,0.007577898,0.007577898,528.2031
204,0.006774405,0.006774405,528.2188
205,0.006614697,0.006614697,528.2266
206,0.007595401,0.007595401,528.2344
207,0.006502898,0.006502898,528.2422
208,0.007185303,0.007185303,528.2422
209,0.006770798,0.006770798,528.2578
210,0.007587202,0.007587202,528.2695
211,0.006421896,0.006421896,528.2773
212,0.007039201,0.007039201,528.2813
